DATE,SUBDIVISION,YEAR,MONTH,MONTH_NAME,RAINFALL_MM,IS_OUTLIER_YEAR
1915-09-01,COASTAL KARNATAKA,1915,9,SEP,304.0,False
1915-10-01,COASTAL KARNATAKA,1915,10,OCT,168.3,False
1915-11-01,COASTAL KARNATAKA,1915,11,NOV,96.9,False
1915-12-01,COASTAL KARNATAKA,1915,12,DEC,4.2,False
1916-01-01,COASTAL KARNATAKA,1916,1,JAN,0.0,False
1916-02-01,COASTAL KARNATAKA,1916,2,FEB,0.0,False
1916-03-01,COASTAL KARNATAKA,1916,3,MAR,0.3,False
1916-04-01,COASTAL KARNATAKA,1916,4,APR,25.2,False
1916-05-01,COASTAL KARNATAKA,1916,5,MAY,88.7,False
1916-06-01,COASTAL KARNATAKA,1916,6,JUN,1051.4,False
1916-07-01,COASTAL KARNATAKA,1916,7,JUL,633.5,False
1916-08-01,COASTAL KARNATAKA,1916,8,AUG,617.0,False
1916-09-01,COASTAL KARNATAKA,1916,9,SEP,587.8,False
1916-10-01,COASTAL KARNATAKA,1916,10,OCT,208.7,False
1916-11-01,COASTAL KARNATAKA,1916,11,NOV,255.2,False
1916-12-01,COASTAL KARNATAKA,1916,12,DEC,0.0,False
1917-01-01,COASTAL KARNATAKA,1917,1,JAN,0.0,False
1917-02-01,COASTAL KARNATAKA,1917,2,FEB,29.8,False
1917-03-01,COASTAL KARNATAKA,1917,3,MAR,7.1,False
1917-04-01,COASTAL KARNATAKA,1917,4,APR,10.2,False
1917-05-01,COASTAL KARNATAKA,1917,5,MAY,52.6,False
1917-06-01,COASTAL KARNATAKA,1917,6,JUN,1075.7,False
1917-07-01,COASTAL KARNATAKA,1917,7,JUL,766.1,False
1917-08-01,COASTAL KARNATAKA,1917,8,AUG,597.6,False
1917-09-01,COASTAL KARNATAKA,1917,9,SEP,500.5,False
1917-10-01,COASTAL KARNATAKA,1917,10,OCT,319.6,False
1917-11-01,COASTAL KARNATAKA,1917,11,NOV,64.8,False
1917-12-01,COASTAL KARNATAKA,1917,12,DEC,0.0,False
1918-01-01,COASTAL KARNATAKA,1918,1,JAN,3.4,False
1918-02-01,COASTAL KARNATAKA,1918,2,FEB,0.3,False
1918-03-01,COASTAL KARNATAKA,1918,3,MAR,3.9,False
1918-04-01,COASTAL KARNATAKA,1918,4,APR,11.4,False
1918-05-01,COASTAL KARNATAKA,1918,5,MAY,699.5,False
1918-06-01,COASTAL KARNATAKA,1918,6,JUN,564.4,False
1918-07-01,COASTAL KARNATAKA,1918,7,JUL,360.6,False
1918-08-01,COASTAL KARNATAKA,1918,8,AUG,485.4,False
1918-09-01,COASTAL KARNATAKA,1918,9,SEP,134.3,False
1918-10-01,COASTAL KARNATAKA,1918,10,OCT,64.7,False
1918-11-01,COASTAL KARNATAKA,1918,11,NOV,168.8,False
1918-12-01,COASTAL KARNATAKA,1918,12,DEC,14.2,False
1919-01-01,COASTAL KARNATAKA,1919,1,JAN,0.0,False
1919-02-01,COASTAL KARNATAKA,1919,2,FEB,0.0,False
